SMILES,score
C=CCN1CCC(CNC(C(=O)NC2OC(CO)C(O)C(OC3OC(C(=O)O)C(O)C(O)C3O)C2NC(C)=O)C(=O)OCC)C1,11.89
COc1cc(C(NCC2CCN(C(=O)c3cc(C)n(C)n3)CC2)C(=O)NC2OC(CO)C(O)C(OC3OC(C(=O)O)C(O)C(O)C3O)C2NC(C)=O)ccc1OCc1ccccc1,13.44
COc1ccc(Br)cc1C(NC1C2CC3CC1CC(O)(C3)C2)C(=O)NC1OC(CO)C(O)C(OC2OC(C(=O)O)C(O)C(O)C2O)C1NC(C)=O,11.9
C#CC1(O)CCN(C(=O)C(C)NC(C(=O)NC2OC(CO)C(O)C(OC3OC(C(=O)O)C(O)C(O)C3O)C2NC(C)=O)c2ccccc2[N+](=O)[O-])C1,12.4
CC(=O)NC1C(NC(=O)C(NC2CC(C)CN(C3CC(C)(C)C3)C2)c2ccc(C)s2)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,11.84
CC(=O)NC1C(NC(=O)C(/C=C(\C)CCC=C(C)C)NC2CCOC2CN2CCC3CC32)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,11.68
COc1ccc(Br)c(C(NCC2CCN(c3ccc(F)cc3)C2)C(=O)NC2OC(CO)C(O)C(OC3OC(C(=O)O)C(O)C(O)C3O)C2NC(C)=O)c1O,11.68
CC(=O)NC1C(NC(=O)C(NC(C)CN(C)C2CCNC2=O)c2ccc(Cl)c(Cl)c2)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,10.34
CCOC(=O)C(NC1CCC(NC(=O)CC)C1)C(=O)NC1OC(CO)C(O)C(OC2OC(C(=O)O)C(O)C(O)C2O)C1NC(C)=O,11.25
CC(=O)NC1C(NC(=O)C(NCC2CCN(C(=O)C(C)C(C)C)C2)c2ccc(Cl)cc2Cl)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,11.62
CC(=O)NC1C(NC(=O)C(NC(C)(CO)CN(C)c2ccccc2)c2ccccc2C(C)=O)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,10.84
CC(=O)NC1C(NC(=O)C(NCC2CCC(C)N(CC#N)C2)c2ccccc2[N+](=O)[O-])OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,11.1
CCCCC(CC)C(NC1CCCN(C(=O)C(C)(C)F)C1)C(=O)NC1OC(CO)C(O)C(OC2OC(C(=O)O)C(O)C(O)C2O)C1NC(C)=O,10.9
CC(=O)NC1C(NC(=O)C(Nc2ncnc3c2ncn3CCCCO)c2ccc3[nH]ccc3c2)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,9.67
CC(=O)NC1C(NC(=O)C(NCC(C)CCN=S(C)(C)=O)c2cccnc2)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,10.72
CC(=O)NC1C(NC(=O)C(NCC2CN(c3ccccn3)C2)c2c(F)c(F)cc(F)c2F)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,10.61
CC(=O)NC1C(NC(=O)C(NC2CC(N3CCCN(C)CC3C)C2)c2ccc(CBr)cc2)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,12.62
COC(=O)c1ccc(C(NC2CC(CNc3ncnc4sccc34)C2)C(=O)NC2OC(CO)C(O)C(OC3OC(C(=O)O)C(O)C(O)C3O)C2NC(C)=O)cc1,12.35
COc1cc(N2CCC(CNC(C(=O)NC3OC(CO)C(O)C(OC4OC(C(=O)O)C(O)C(O)C4O)C3NC(C)=O)c3ccc(B4OC(C)(C)C(C)(C)O4)cc3)C2)ncn1,12.29
CC(=O)NC1C(NC(=O)C(NC2(C3(O)CCN(C)C3)CNC2)c2cc([N+](=O)[O-])ccc2F)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,11.36
CC(=O)NC1C(NC(=O)C(NC2C3CN(C)CC32)c2cccc(O)c2)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,10.63
CC(=O)NC1C(NC(=O)C(NC2CN(C3CC3)CCC2(C)O)c2cc(Cl)ccc2[N+](=O)[O-])OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,11.09
CC(=O)NC1C(NC(=O)C(NCCC2(CN3CCSCC3)CC2)c2cc([N+](=O)[O-])ccc2F)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,12.18
CC(=O)NC1C(NC(=O)C(NCC(C)CN2CC(C)CC(O)C2)c2ccc(CBr)cc2)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,12.48
CC(=O)NC1C(NC(=O)C(NC(=O)CCN2CCC(CO)CC2)c2ccccc2C=O)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,12.37
CC(=O)NC1C(NC(=O)C(NNC(=O)C(C)N2CCC(O)C2)C(O)CO)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,11.31
CC(=O)NC1C(NC(=O)C(NCCC(C)(C)N2C(=O)C3CC3C2=O)c2cccc(Br)c2)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,16.63
CC(=O)NC1C(NC(=O)C(NC(=O)CN2CC3CCC(O)C3C2)c2cccc(F)c2)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,11.41
CCCC(C)(O)C(C)CNC(C(=O)NC1OC(CO)C(O)C(OC2OC(C(=O)O)C(O)C(O)C2O)C1NC(C)=O)c1ccccc1C(=O)O,12.74
CC(=O)NC1C(NC(=O)C(NCC(C)(C)CN(C)C(=O)C(C)C)c2cc[nH]n2)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,11.98
CC(=O)NC1C(NC(=O)C(NCC(C)(C)Cn2ccnc(C)c2=O)c2cc(O)ccc2Br)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,11.37
C=CCS(=O)(=O)N1CCC(C(C)NC(C(=O)NC2OC(CO)C(O)C(OC3OC(C(=O)O)C(O)C(O)C3O)C2NC(C)=O)c2cccc(O)c2)C1,12.16
CC(=O)NC1C(NC(=O)C(NC2CC(C)N(CCn3ccnc3)C2)C(=O)O)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,15.11
CC(=O)NC1C(NC(=O)C(Nc2nnc(N3CCC(C(C)O)C3)o2)C2CC2)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,12.42
CC(=O)NC1C(NC(=O)C(NC(CO)CCN2CCCN(C)CC2)C(c2ccccc2)c2ccccc2)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,10.63
CC(=O)NC1C(NC(=O)C(NNC(=O)C(C)N2CCC(O)C2)c2c(F)ccc(Cl)c2F)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,11.13
CC(=O)NC1C(NC(=O)C(NC(C)C(=O)NCCC(C)O)c2cccc(Br)n2)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,14.61
CCn1cc(C(O)C(C)CNC(C(=O)NC2OC(CO)C(O)C(OC3OC(C(=O)O)C(O)C(O)C3O)C2NC(C)=O)c2ccc(C)cc2)nn1,10.84
CC(=O)NC1C(NC(=O)C(NCCC(O)c2cncc(F)c2)c2cnccn2)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,13.05
CC(=O)NC1C(NC(=O)C(NNC(C2CCC2)C2CN(C)CCO2)c2ccc(C#N)cc2)OC(CO)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O,10.13
